id,track_name,track_artist_name,artist_genres,artist_popularity,track_album_release_date,track_duration_ms,track_explicit,track_popularity,track_danceability,track_energy,track_key,track_loudness,track_mode,track_speechiness,track_acousticness,track_instrumentalness,track_liveness,track_valence,track_tempo,track_name_subjectivity,track_name_polarity
6iF4RgIjDvDqyW13PezSj3,Single Soon,Selena Gomez,"['pop', 'post-teen pop']",82,1692921600.0,171655,0,77,0.61,0.571,2,-5.649,1,0.0782,0.00863,0.0,0.131,0.747,105.01,negative,low
0Nfh4u0J4bajcyp5pzaWCx,Used To Be Young,Miley Cyrus,['pop'],84,1692921600.0,191185,0,75,0.451,0.632,4,-3.843,1,0.0475,0.6,0.0,0.139,0.455,147.06,positive,medium
2IGMVunIBsBLtEQyoI1Mu7,Paint The Town Red,Doja Cat,"['dance pop', 'pop']",85,1691107200.0,231750,1,94,0.868,0.538,5,-8.603,1,0.174,0.269,3.34e-06,0.0901,0.732,99.968,negative,low
1vYXt7VSjH9JIM5oRRo7vA,Dance The Night (From Barbie The Album),Dua Lipa,"['dance pop', 'pop', 'uk pop']",86,1684972800.0,176579,0,97,0.671,0.845,11,-4.93,0,0.048,0.0207,0.0,0.329,0.775,110.056,negative,low
2i8f4VnnBjy0yDqH2C452a,bad idea right?,Olivia Rodrigo,['pop'],85,1691712000.0,184783,1,91,0.628,0.878,9,-3.468,1,0.0901,0.00196,1.23e-05,0.0649,0.796,129.976,negative,medium
7x9aauaA9cu6tyfpHnqDLo,Seven (feat. Latto) (Explicit Ver.),Jung Kook,['k-pop'],85,1689292800.0,184400,1,100,0.802,0.832,11,-4.107,1,0.0434,0.311,0.0,0.0815,0.89,124.997,negative,low
1BxfuPKGuaTgP7aM0Bbdwr,Cruel Summer,Taylor Swift,['pop'],100,1566518400.0,178426,0,99,0.552,0.702,9,-5.707,1,0.157,0.117,2.06e-05,0.105,0.564,169.994,negative,high
6wf7Yu7cxBSPrRlWeSeK0Q,"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,"['art pop', 'electropop', 'pop']",88,1689206400.0,222369,0,98,0.444,0.0911,0,-17.665,1,0.0307,0.959,1.05e-06,0.098,0.142,78.403,negative,low
23RoR84KodL5HWvUTneQ1w,(It Goes Like) Nanana - Edit,Peggy Gou,"['electra', 'float house']",74,1686787200.0,231545,0,94,0.671,0.876,7,-5.681,0,0.0352,0.12,0.188,0.0823,0.964,129.998,negative,low
741UUVE2kuITl0c6zuqqbO,Barbie World (with Aqua) [From Barbie The Album],Nicki Minaj,"['hip pop', 'pop', 'queens hip hop', 'rap']",86,1687478400.0,109750,1,95,0.77,0.58,0,-8.393,1,0.247,0.519,0.000127,0.233,0.753,144.072,negative,low
6WzRpISELf3YglGAh7TXcG,Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,The Weeknd,"['canadian contemporary r&b', 'canadian pop', 'pop']",94,1685664000.0,215466,1,93,0.855,0.678,1,-6.276,1,0.189,0.0569,3.69e-05,0.412,0.852,99.029,positive,high
5sdQOyqq2IDhvmx2lHOpwd,Super Shy,NewJeans,"['k-pop', 'k-pop girl group']",84,1688688000.0,154666,0,95,0.776,0.817,5,-6.018,0,0.0748,0.18,3.44e-05,0.146,0.515,149.921,negative,medium
7ABLbnD53cQK00mhcaOUVG,LALA,Myke Towers,"['reggaeton', 'trap latino', 'urbano latino']",87,1679529600.0,197920,1,99,0.708,0.737,1,-4.045,1,0.0436,0.0739,0.00162,0.0955,0.607,91.986,neutral,low
4rXLjWdF2ZZpXCVTfWcshS,fukumean,Gunna,"['atl hip hop', 'melodic rap', 'rap', 'trap']",84,1686873600.0,125040,1,96,0.847,0.622,1,-6.747,0,0.0903,0.119,0.0,0.285,0.22,130.001,neutral,low
3k79jB4aGmMDUQzEwa46Rz,vampire,Olivia Rodrigo,['pop'],85,1688083200.0,219724,1,97,0.511,0.532,5,-5.745,1,0.056,0.169,0.0,0.311,0.322,137.827,negative,low
5w40ZYhbBMAlHYNDaVJIUu,Chemical,Post Malone,"['dfw rap', 'melodic rap', 'pop', 'rap']",89,1681430400.0,184013,1,89,0.498,0.897,2,-4.907,1,0.045,0.00136,0.0,0.118,0.373,169.902,negative,low
1Qrg8KqiBpW07V7PNxwwwL,Kill Bill,SZA,"['pop', 'r&b', 'rap']",87,1670457600.0,153946,0,92,0.644,0.735,8,-5.747,1,0.0391,0.0521,0.144,0.161,0.418,88.98,neutral,low
4DHcnVTT87F0zZhRPYmZ3B,Flowers,Miley Cyrus,['pop'],84,1678406400.0,200600,0,94,0.707,0.681,0,-4.325,1,0.0668,0.0632,5.15e-06,0.0322,0.646,117.999,negative,high
