id,track_name,track_artist_name,artist_genres,artist_popularity,track_album_release_date,track_duration_ms,track_explicit,track_popularity,track_danceability,track_energy,track_key,track_loudness,track_mode,track_speechiness,track_acousticness,track_instrumentalness,track_liveness,track_valence,track_tempo,track_name_subjectivity,track_name_polarity
3dPtXHP0oXQ4HCWHsOA9js,夜に駆ける,YOASOBI,"['j-pop', 'japanese teen pop']",76,1576368000.0,261013,0,76,0.67,0.874,8,-5.221,1,0.0305,0.00231,1.72e-05,0.3,0.789,130.041,negative,low
6PI8OSjXRVqzQA3S8lPnMl,WARMISITAY,Milena Warthon,['pop peruano'],43,1651795200.0,204219,0,47,0.496,0.706,1,-5.806,1,0.666,0.643,0.0,0.332,0.765,188.026,negative,low
7FbrGaHYVDmfr7KoLIZnQ7,Cupid - Twin Ver.,FIFTY FIFTY,['k-pop girl group'],75,1677196800.0,174253,0,94,0.783,0.592,11,-8.332,0,0.0331,0.435,4.15e-06,0.347,0.726,120.018,negative,low
4YfVg2YhY0nDrgj5Fu8NFK,Butterfly (Digimon),Inheres,['anime latino'],34,1608422400.0,96229,0,32,0.46,0.844,9,-8.125,1,0.0542,0.0123,0.000521,0.0306,0.577,165.051,neutral,low
7lj8qelgOQRSSjZ1uOIOLU,Olvida la Amargura (Ranma 1/2) - De Película,Jade,['anime latino'],28,1406160000.0,211022,0,45,0.726,0.879,0,-4.688,1,0.0665,0.558,5.4e-06,0.376,0.855,79.394,positive,medium
3gmn76fCtpDazGMnN0QMHX,NIGHT DANCER,imase,['japanese teen pop'],66,1667952000.0,210600,0,77,0.924,0.563,7,-7.899,0,0.0802,0.0879,0.0,0.103,0.872,117.06,neutral,low
65CAR4xohs4mvni3rjbAUY,Ay Vida Mía,El Kanka,"['cantautor', 'spanish rock']",54,1447372800.0,223773,0,45,0.89,0.605,4,-6.99,1,0.0397,0.393,1.9e-06,0.134,0.926,134.957,neutral,low
2vwzbB62VEfzCARNu9Nrrm,Into The Night,YOASOBI,"['j-pop', 'japanese teen pop']",76,1636675200.0,259661,0,61,0.638,0.868,0,-5.701,0,0.0292,0.0112,0.0,0.342,0.824,130.046,neutral,low
3mU0DbuWtUX5KCaovOQZVK,Rosa Pastel,Belanova,"['latin arena pop', 'latin pop', 'mexican pop']",68,1136073600.0,185920,0,85,0.813,0.609,11,-6.958,0,0.0314,0.0277,0.0211,0.334,0.614,127.999,neutral,low
4nmjL1mUKOAfAbo9QG9tSE,Koi,Gen Hoshino,"['j-acoustic', 'j-pop', 'japanese singer-songwriter']",60,1545177600.0,251266,0,54,0.598,0.819,9,-2.619,1,0.0911,0.00081,0.0,0.218,0.878,158.115,neutral,low
1QjfU3jkGInap7Vm9lVJIQ,Amor (Ft. Mon Laferte) - MTV Unplugged,Los Auténticos Decadentes,"['argentine rock', 'latin alternative', 'latin rock', 'rock en espanol', 'ska argentino']",65,1538697600.0,312512,0,62,0.62,0.717,9,-7.165,0,0.0361,0.0274,0.0,0.708,0.601,92.881,neutral,low
2Ml4iJkY3EUbdO0knRn4aR,Razón de Vivir,Mercedes Sosa,"['cantautor', 'folclore tucumano', 'folklore argentino', 'nueva cancion', 'trova']",56,1687996800.0,311669,0,45,0.408,0.26,7,-12.15,1,0.0367,0.954,2.07e-06,0.0865,0.324,107.043,negative,low
6n2eIfLj0wOOUkUfNmYzlh,Toy,Netta,['israeli pop'],49,1527033600.0,180230,0,65,0.786,0.712,3,-5.349,0,0.0678,0.0706,0.0,0.236,0.795,130.144,negative,low
0E6xkmlNQ9GRHyir1tlg6u,Fallaste,Comisario Pantera,"['latin alternative', 'latin rock', 'mexican indie', 'mexican rock']",48,1686873600.0,156698,0,44,0.588,0.612,0,-4.337,1,0.0374,0.0241,0.0,0.0452,0.782,167.243,negative,low
